category;keywords;answer
направления;физкультура,спорт,тренер;На факультете физической культуры и спорта есть направления, связанные с физической культурой и спортом. [Подробнее о направлениях](https://www.kursksu.ru/faculties/physical-education-and-sports/)
направления;архитектура,строительство,дизайн;Направление "Архитектура" и "Строительство" находятся на художественно-графическом факультете. [Подробнее о факультете](https://www.kursksu.ru/faculties/art-and-graphic-design/)
направления;технология,машиностроение,сервис,индустриально-педагогический факультет;Информация о направлениях подготовки индустриально-педагогического факультета, включая "Технологию машиностроения", "Сервис" и другие, доступна на сайте. [Подробнее о факультете](https://www.kursksu.ru/faculties/industrial-pedagogy/)
направления;таможенное дело,экономика,менеджмент;В Институте экономики и управления есть программы "Таможенное дело", "Экономика" и "Менеджмент". [Подробнее о программах](https://www.kursksu.ru/faculties/economy-and-management/)
направления;IT,программирование,кибербезопасность,информатика;Рекомендуем факультет физики, математики, информатики. Там есть направления "Прикладная математика и информатика", "Информатика и вычислительная техника", "Информационная безопасность". [Подробнее о факультете](https://www.kursksu.ru/faculties/physics-mathematics-informatics/)
направления;гостиничный бизнес,туризм,сервис;На естественно-географическом факультете есть направление "Гостиничное дело". [Подробнее о направлении](https://www.kursksu.ru/faculties/natural-sciences/)
направления;дизайн одежды,модельер,дизайн костюма;На художественно-графическом факультете есть направление "Дизайн" с профилем "Дизайн костюма и аксессуаров". [Подробнее о направлении](https://www.kursksu.ru/faculties/art-and-graphic-design/)
направления;психология,дети с ОВЗ,особенности развития;Обратите внимание на направление "Специальное (дефектологическое) образование", там есть разные профили, связанные с работой с детьми с ОВЗ. [Подробнее о направлении](https://www.kursksu.ru/faculties/defectology/)
направления;теология,религиоведение;На странице факультета теологии и религиоведения вы найдете информацию о направлениях. [Подробнее о факультете](https://www.kursksu.ru/faculties/theology/)
направления;музыка,музыкант,пианист;На факультете искусств и арт-педагогики есть направления "Музыкально-инструментальное искусство" и "Дирижирование". [Подробнее о направлениях](https://www.kursksu.ru/faculties/arts-and-art-pedagogy/)
направления;два диплома,два профиля,две специальности;Да, в КГУ есть программы с двумя профилями подготовки. [Подробнее о программах](https://www.kursksu.ru/applicant/programms/)
направления;английский язык,учитель английского,иностранные языки;Вам подойдут направления "Педагогическое образование" и "Лингвистика" на факультете иностранных языков. [Подробнее о факультете](https://www.kursksu.ru/faculties/foreign-languages/)
направления;юриспруденция,судья,прокурор;Обратите внимание на направление "Юриспруденция" и специалитет "Судебная и прокурорская деятельность" на юридическом факультете. [Подробнее о факультете](https://www.kursksu.ru/faculties/law/)
направления;ландшафтный дизайн,дизайн;Да, на художественно-графическом факультете есть направление "Дизайн" с профилем "Ландшафтный дизайн". [Подробнее о направлении](https://www.kursksu.ru/faculties/art-and-graphic-design/)
направления;олигофренопедагогика,дефектология;Описание направления "Олигофренопедагогика" представлено на странице дефектологического факультета. [Подробнее о направлении](https://www.kursksu.ru/faculties/defectology/)
направления;история,исторический факультет;На странице исторического факультета вы найдете список программ бакалавриата и магистратуры. [Подробнее о факультете](https://www.kursksu.ru/faculties/history/)
направления;информатика,математика,учитель информатики;Да, в КГУ есть программы "Педагогическое образование" с двумя профилями, например, "Преподавание информатики и английского языка" или "Преподавание математики и физики". [Подробнее о программах](https://www.kursksu.ru/faculties/physics-mathematics-informatics/)
направления;сервис,автотранспортные средства,индустриально-педагогический факультет;На индустриально-педагогическом факультете есть направление "Сервис" с профилем "Сервис автотранспортных средств". [Подробнее о направлении](https://www.kursksu.ru/faculties/industrial-pedagogy/)
направления;международная экономика,экономика,международные отношения;В КГУ нет отдельного направления "Международная экономика", но вы можете изучать экономику в целом на Институте экономики и управления, а также выбрать профиль "Международные отношения" на историческом факультете. [Подробнее о направлениях](https://www.kursksu.ru/faculties/economy-and-management/)
направления;начальная школа,учитель,педагогика,психология;Вам подойдет направление "Психолого-педагогическое образование" с профилем "Начальное образование" на факультете педагогики и психологии. [Подробнее о направлении](https://www.kursksu.ru/faculties/pedagogy-and-psychology/)
прием;аттестат,поступление,колледж,СПО;Если у вас есть диплом СПО, вы можете поступать в КГУ на базе СПО.  [Подробнее о поступлении](https://www.kursksu.ru/pages/entrance2024_info)
прием;заочное отделение,заочка,поступление,как поступить;Информация о поступлении на заочное отделение представлена на странице приемной комиссии. [Подробнее о поступлении](https://www.kursksu.ru/pages/entrance2024_info)
прием;иностранный гражданин,иностранец,поступление;Информация о поступлении для иностранных граждан представлена на сайте университета. [Подробнее о поступлении](https://www.kursksu.ru/)
прием;ЕГЭ,сдал ЕГЭ,не сдал ЕГЭ;Если вы не сдали ЕГЭ, вы не сможете поступить на бюджетные места. Вы можете попробовать поступить на коммерческой основе или пересдать ЕГЭ в следующем году. [Подробнее о поступлении](https://www.kursksu.ru/pages/entrance2024_info)
прием;прошел по конкурсу,результаты конкурса;Результаты конкурса публикуются на сайте приемной комиссии. [Подробнее о результатах](https://www.kursksu.ru/pages/entrance2024_info)
прием;подать документы,другой город,онлайн,почта;Вы можете подать документы онлайн через сервис "Абитуриент КГУ Онлайн" или по почте. [Подробнее о подаче документов](https://www.kursksu.ru/pages/entrance2024_info)
прием;стоимость обучения,цена,сколько стоит;Стоимость обучения на разных направлениях указана на сайте университета. [Подробнее о стоимости](https://www.kursksu.ru/)
прием;день открытых дверей,когда;Информация о днях открытых дверей публикуется на сайте университета. [Подробнее о днях открытых дверей](https://www.kursksu.ru/)
прием;перевестись,другой вуз;Да, вы можете перевестись в КГУ из другого вуза. [Подробнее о переводе](https://www.kursksu.ru/pages/entrance2024_info)
прием;льготы,поступление;Информация о льготах при поступлении представлена на сайте университета. [Подробнее о льготах](https://www.kursksu.ru/pages/entrance2024_info)
прием;инвалид,поступление;Информация о поступлении для лиц с ограниченными возможностями здоровья представлена на сайте университета. [Подробнее о поступлении](https://www.kursksu.ru/pages/entrance2024_info)
прием;поступить без ЕГЭ;Поступить на бюджетные места без ЕГЭ нельзя. Вы можете попробовать поступить на коммерческой основе или пересдать ЕГЭ в следующем году. [Подробнее о поступлении](https://www.kursksu.ru/pages/entrance2024_info)
прием;проходные баллы,прошлый год;Проходные баллы прошлых лет доступны на сайте приемной комиссии. [Подробнее о баллах](https://www.kursksu.ru/pages/entrance2024_info)
прием;не успел подать документы,срок;Если вы не успели подать документы в срок, вы не сможете поступить в этом году. Вы можете попробовать поступить в следующем году. [Подробнее о сроках](https://www.kursksu.ru/pages/entrance2024_info)
прием;подготовительные курсы;Информация о подготовительных курсах представлена на сайте университета. [Подробнее о курсах](https://www.kursksu.ru/applicant/courses/)
прием;ЕГЭ,действительны,несколько лет назад;Результаты ЕГЭ действительны в течение 4 лет. [Подробнее о ЕГЭ](https://www.kursksu.ru/pages/entrance2024_info)
прием;перевестись,как перевестись;Информация о переводе из другого вуза представлена на странице приемной комиссии. [Подробнее о переводе](https://www.kursksu.ru/pages/entrance2024_info)
прием;очное,заочное,подать документы;Да, вы можете подать документы на разные формы обучения. [Подробнее о формах обучения](https://www.kursksu.ru/pages/entrance2024_info)
прием;перевестись на бюджет,не пройду по баллам;Возможность перевода с коммерции на бюджет зависит от наличия свободных мест и вашей успеваемости. [Подробнее о переводе](https://www.kursksu.ru/pages/entrance2024_info)
прием;заявление на поступление,бланк;Образцы документов, в том числе бланк заявления на поступление, доступны на сайте приемной комиссии. [Подробнее о документах](https://www.kursksu.ru/pages/entrance2024_info)
прием;виза,обучение,иностранный гражданин;Информация о визовых вопросах для иностранных абитуриентов представлена на сайте университета. [Подробнее о визах](https://www.kursksu.ru/)
прием;целевое направление,документы;Информация о документах для поступления по целевому направлению представлена на сайте приемной комиссии. [Подробнее о целевом направлении](https://www.kursksu.ru/pages/entrance2024_info)
прием;олимпиада,ЕГЭ,победитель;Победители и призеры олимпиад могут иметь право на поступление без вступительных испытаний. [Подробнее о льготах](https://www.kursksu.ru/pages/entrance2024_info)
прием;льготы,дети-сироты;Информация о льготах для детей-сирот представлена на сайте университета. [Подробнее о льготах](https://www.kursksu.ru/pages/entrance2024_info)
прием;бюджетные места,заочное отделение;Количество мест для приема на обучение по каждому направлению и форме обучения указано в правилах приема. [Подробнее о местах](https://www.kursksu.ru/pages/entrance2024_info)
прием;забрать документы,передумал;Вы можете забрать документы в установленные сроки. [Подробнее о документах](https://www.kursksu.ru/pages/entrance2024_info)
прием;вступительные испытания,дистанционно,онлайн;В некоторых случаях возможна дистанционная сдача вступительных испытаний. [Подробнее о вступительных испытаниях](https://www.kursksu.ru/pages/entrance2024_info)
прием;золотая медаль;Наличие золотой медали не дает дополнительных баллов при поступлении. [Подробнее о баллах](https://www.kursksu.ru/pages/entrance2024_info)
прием;договор на обучение,бланк;Образцы документов, в том числе бланк договора на обучение, доступны на сайте приемной комиссии. [Подробнее о документах](https://www.kursksu.ru/pages/entrance2024_info)
направления;дефектологический факультет,логопед,дети с ОВЗ;Вам подойдет направление "Специальное (дефектологическое) образование" с профилем "Логопедия детей и взрослых", которое представлено на дефектологическом факультете. [Подробнее о факультете](https://www.kursksu.ru/faculties/defectology/)
направления;иняз,английский,иностранные языки;На факультете иностранных языков можно изучать разные иностранные языки. [Подробнее о факультете](https://www.kursksu.ru/faculties/foreign-languages/)
направления;дизайн,профили;Направление "Дизайн" на художественно-графическом факультете имеет несколько профилей. [Подробнее о направлении](https://www.kursksu.ru/faculties/art-and-graphic-design/)
направления;журналист,журналистика,медиа,СМИ;Да, на филологическом факультете есть направление "Журналистика". [Подробнее о факультете](https://www.kursksu.ru/faculties/philology/)
направления;реклама,маркетинг,PR,связи с общественностью;Рекомендуем посмотреть направление "Реклама и связи с общественностью" на филологическом факультете. [Подробнее о факультете](https://www.kursksu.ru/faculties/philology/)
направления;искусство,музыка,театр,живопись;На странице факультета искусств и арт-педагогики представлен список направлений и профилей. [Подробнее о факультете](https://www.kursksu.ru/faculties/arts-and-art-pedagogy/)
направления;архитектура,проектирование зданий;Направление "Архитектура" находится на художественно-графическом факультете. [Подробнее о факультете](https://www.kursksu.ru/faculties/art-and-graphic-design/)
направления;строительство,проектирование,инженерные системы;Да, на художественно-графическом факультете есть направление "Строительство". [Подробнее о факультете](https://www.kursksu.ru/faculties/art-and-graphic-design/)
направления;география,экология,природопользование,естественные науки;Полный список направлений естественно-географического факультета: "География", "Экология и природопользование", "Картография и геоинформатика", "Туризм", "Гостиничное дело" и другие, доступен на сайте. [Подробнее о факультете](https://www.kursksu.ru/faculties/natural-sciences/)
направления;техносферная безопасность,безопасность,охрана труда;Описание направления "Техносферная безопасность" можно найти на странице индустриально-педагогического факультета. [Подробнее о направлении](https://www.kursksu.ru/faculties/industrial-pedagogy/)
направления;учитель технологии,технология,педагогика;На индустриально-педагогическом факультете есть направление "Педагогическое образование" с профилем "Преподавание технологии и безопасности жизнедеятельности". [Подробнее о факультете](https://www.kursksu.ru/faculties/industrial-pedagogy/)
направления;таможенник,таможня,таможенное дело;Да, в Институте экономики и управления есть программа "Таможенное дело". [Подробнее о программе](https://www.kursksu.ru/faculties/economy-and-management/)
направления;IT,программирование,разработка,информатика;Рекомендуем факультет физики, математики, информатики. Там есть подходящие направления. [Подробнее о факультете](https://www.kursksu.ru/faculties/physics-mathematics-informatics/)
направления;реклама,PR,связи с общественностью,медиа;Информация о профилях "Реклама и связи с общественностью" представлена на странице филологического факультета. [Подробнее о направлениях](https://www.kursksu.ru/faculties/philology/)
направления;гостиничный бизнес,гостиница,отель,менеджмент;На естественно-географическом факультете есть направление "Гостиничное дело". [Подробнее о направлении](https://www.kursksu.ru/faculties/natural-sciences/)
направления;IT-безопасность,кибербезопасность,информационная безопасность;Рекомендуем направление "Информационная безопасность" на факультете физики, математики, информатики. [Подробнее о направлении](https://www.kursksu.ru/faculties/physics-mathematics-informatics/)
направления;дизайн одежды,модельер,дизайн,костюм,одежда;Да, на художественно-графическом факультете есть направление "Дизайн" с профилем "Дизайн костюма и аксессуаров". [Подробнее о направлении](https://www.kursksu.ru/faculties/art-and-graphic-design/)
направления;психология,дети,ОВЗ,ограниченные возможности здоровья,развитие;Описание профиля "Психология лиц с ограниченными возможностями здоровья" есть на странице дефектологического факультета. [Подробнее о направлении](https://www.kursksu.ru/faculties/defectology/)
документы;документы,перечень,необходимые,поступление,какие;Список необходимых документов для поступления в КГУ можно найти на сайте приемной комиссии. [Подробнее о документах](https://www.kursksu.ru/pages/entrance2024_info)
документы;паспорт,аттестат,копия,оригинал;Для поступления в КГУ вам понадобятся оригиналы или копии паспорта и аттестата о среднем общем образовании. 
документы;фотографии,размер,количество;При подаче документов необходимо предоставить 4 фотографии размером 3х4 см.
документы;заявление,бланк,где взять;Бланк заявления на поступление можно скачать на сайте приемной комиссии. [Подробнее о документах](https://www.kursksu.ru/pages/entrance2024_info)
документы;согласие,обработка,персональные,данные;При подаче документов необходимо подписать согласие на обработку персональных данных.
документы;медицинская,справка,форма,нужна;Для некоторых направлений подготовки может потребоваться медицинская справка установленной формы. 
документы;СНИЛС,нужен;При подаче документов рекомендуется предоставить СНИЛС.
документы;ИНН,нужен;При подаче документов рекомендуется предоставить ИНН.
документы;документы,после,колледжа,СПО,диплом;Для поступающих на базе СПО необходим диплом о среднем профессиональном образовании. 
документы;перевод,другой,вуз;Для перевода из другого вуза необходимы документы, подтверждающие ваше обучение. [Подробнее о переводе](https://www.kursksu.ru/pages/entrance2024_info)
документы;целевое,направление,договор;Для поступления по целевому направлению необходим договор с организацией, которая вас направляет. 
документы;льготы,подтверждающие,документы;Для получения льгот при поступлении необходимо предоставить документы, подтверждающие ваше право на льготы. 
документы;инвалидность,документы;Для поступающих с инвалидностью необходимо предоставить документы, подтверждающие инвалидность.
документы;общежитие;ИНФОРМАЦИЯ о наличии ОБЩЕЖИТИЙ: https://kursksu.ru/pages/dormitories
документы;заявление;Образцы документов, в том числе бланк заявления на поступление, доступны на сайте приемной комиссии: https://www.kursksu.ru/pages/entrance2024_info
документы;перевод,из,другого,вуза;Информация о переводе из другого вуза и необходимых документах представлена на странице приемной комиссии: https://www.kursksu.ru/pages/entrance2024_info
документы;социальная,стипендия;Информация о документах для получения социальной стипендии: https://www.kursksu.ru/
документы;заявление,на,отчисление;Образец заявления на отчисление можно получить в деканате вашего факультета.
документы;восстановление,в,КГУ;Информация о восстановлении в КГУ и необходимых документах: https://www.kursksu.ru/
документы;копия,диплома;Копию диплома можно получить в архиве КГУ.
документы;академический,отпуск;Информация о получении академического отпуска: https://www.kursksu.ru/
документы;правила,внутреннего,распорядка;Правила внутреннего распорядка КГУ: https://www.kursksu.ru/
документы;зачетная,книжка;Зачетную книжку выдают в деканате вашего факультета после зачисления.
документы;участие,в,олимпиаде;Информация о документах для участия в олимпиаде: https://www.kursksu.ru/pages/projects_for_schoolchildren
документы;согласие,на,обработку,персональных,данных;Согласие на обработку персональных данных вы подписываете при подаче документов.
документы;пропуск,в,КГУ;Для оформления пропуска в КГУ нужно обратиться в бюро пропусков с паспортом. 
документы;заверить,копии;Копии документов можно заверить в нотариальной конторе.
документы;студенческий,билет;Студенческий билет выдают в деканате вашего факультета после зачисления.
документы;характеристика,с,места,учебы;Образец характеристики с места учебы можно найти в интернете или попросить в приемной комиссии.
документы;материальная,помощь;Информация о документах для получения материальной помощи: https://www.kursksu.ru/
документы;перевод,документов;Перевод документов на русский язык можно сделать в бюро переводов.
документы;договор,на,платное,обучение;Информация о документах для оформления договора на платное обучение: https://www.kursksu.ru/pages/entrance2024_info
документы;список,преподавателей;Список преподавателей можно найти на сайте каждого факультета: https://www.kursksu.ru/faculties/
документы;справка,об,обучении;Для получения справки об обучении нужно обратиться в деканат вашего факультета.
документы;поступление,в,аспирантуру;Информация о поступлении в аспирантуру и необходимых документах представлена на странице приемной комиссии: https://www.kursksu.ru/pages/entrance2024_info
документы;участие,в,конференции;Информация о документах для участия в конференции: https://www.kursksu.ru/pages/projects_for_schoolchildren
документы;потерял,аттестат;Без аттестата документы подать нельзя. Вам нужно получить дубликат в школе, которую вы закончили. https://www.kursksu.ru/pages/entrance2024_info
документы;паспорт,свидетельство,о,рождении;Да, вы можете подать документы с копией свидетельства о рождении, но вам нужно будет предоставить паспорт до зачисления. https://www.kursksu.ru/pages/entrance2024_info
документы;утерянный,студенческий,билет;Информация о порядке восстановления утерянного студенческого билета: https://www.kursksu.ru/
документы;спортивные,соревнования;Для участия в спортивных соревнованиях от КГУ нужно обратиться в спортивный клуб университета.
документы;справка,о,стипендии;Справку о том, что вы не получаете стипендию, можно получить в бухгалтерии КГУ.
документы;студенческий,проездной;Для оформления студенческого проездного билета нужно обратиться в деканат вашего факультета с паспортом и студенческим билетом. 
документы;аттестат,старый,образец;Да, аттестаты старого образца действительны. https://www.kursksu.ru/pages/entrance2024_info
документы;загранпаспорт,иностранный,гражданин;Иностранным гражданам для поступления необходим загранпаспорт.
документы;свидетельство,рождении,паспорт,несовершеннолетний;Если вам нет 18 лет, вы можете подать документы со свидетельством о рождении, но до зачисления необходимо предоставить паспорт. 
документы;академическая,справка;Для перевода из другого вуза вам понадобится академическая справка с предыдущего места обучения.
документы;анкета,заполнить,онлайн;Анкету для поступления можно заполнить онлайн на сайте приемной комиссии. 
документы;договор,целевое,обучение;При поступлении по целевому направлению вам нужно будет заключить договор с организацией, предоставившей вам целевое место. 
документы;фото,требования;Требования к фотографиям для поступления можно найти на сайте приемной комиссии.
документы;медицинская,справка,специальности;Медицинская справка требуется не для всех специальностей.  Уточните информацию на сайте приемной комиссии или в описании выбранного вами направления. 
документы;нотариус,заверение,копии;Заверение копий документов у нотариуса не всегда обязательно. Уточните информацию на сайте приемной комиссии.
документы;льготы,документы,подтверждающие;Перечень документов, подтверждающих право на льготы, можно найти на сайте приемной комиссии. 
документы;инвалидность,документы,подтверждающие;Для подтверждения инвалидности необходимо предоставить справку об инвалидности и индивидуальную программу реабилитации (ИПР).
баллы;проходные,баллы,ЕГЭ,поступление;Проходные баллы на бюджетные места зависят от количества поданных заявлений и результатов ЕГЭ абитуриентов. 
баллы;минимальные,баллы,ЕГЭ;Минимальные баллы ЕГЭ для поступления на каждое направление устанавливаются КГУ ежегодно.
баллы;ЕГЭ,действителен,сколько лет;Результаты ЕГЭ действительны в течение 4 лет. 
баллы;олимпиада,баллы,льготы;Победа в некоторых олимпиадах может дать вам дополнительные баллы при поступлении или право на поступление без вступительных испытаний. 
баллы;золотая медаль,баллы;Наличие золотой медали не дает дополнительных баллов при поступлении.
баллы;аттестат с отличием,баллы;Наличие аттестата с отличием не дает дополнительных баллов при поступлении.
баллы;индивидуальные,достижения,баллы;За индивидуальные достижения (например, спортивные, творческие) можно получить дополнительные баллы при поступлении.
баллы;ГТО,баллы;Наличие золотого знака отличия ГТО может дать вам дополнительные баллы при поступлении. 
баллы;портфолио,баллы;Наличие портфолио с вашими достижениями может быть учтено при поступлении на некоторые творческие направления.
баллы;дополнительные,баллы,как получить;Подробнее о том, как получить дополнительные баллы при поступлении, можно узнать на сайте приемной комиссии. [Подробнее о дополнительных баллах](https://www.kursksu.ru/pages/additional_points_for_admission)
баллы;калькулятор,абитуриента,рассчитать,баллы;Вы можете рассчитать свои шансы на поступление, используя калькулятор абитуриента на сайте КГУ. [Калькулятор абитуриента](https://calc.kursksu.ru/)
баллы;математика,профильная,базовая,какая нужна;Для поступления на большинство технических и экономических направлений требуется ЕГЭ по профильной математике.
баллы;обществознание,нужно,какие направления;ЕГЭ по обществознанию требуется для поступления на гуманитарные направления, например, "Юриспруденция", "Социология", "Экономика".
баллы;физика,нужно,какие направления;ЕГЭ по физике требуется для поступления на технические направления, например, "Информатика и вычислительная техника", "Строительство", "Техносферная безопасность".
баллы;информатика,нужно,какие направления;ЕГЭ по информатике требуется для поступления на IT-направления, например, "Прикладная математика и информатика", "Информационная безопасность".
баллы;биология,нужно,какие направления;ЕГЭ по биологии требуется для поступления на естественно-научные направления, например, "Биология", "Экология и природопользование".
баллы;история,нужно,какие направления;ЕГЭ по истории требуется для поступления на исторические направления, например, "История", "Международные отношения".
баллы;литература,нужно,какие направления;ЕГЭ по литературе требуется для поступления на филологические направления, например, "Филология", "Журналистика".
баллы;иностранный язык,нужно,какие направления;ЕГЭ по иностранному языку требуется для поступления на языковые направления, например, "Лингвистика", "Перевод и переводоведение".
баллы;география,нужно,какие направления;ЕГЭ по географии требуется для поступления на географические направления, например, "География", "Туризм".
баллы;химия,нужно,какие направления;ЕГЭ по химии требуется для поступления на химические направления, например, "Химия", "Фундаментальная и прикладная химия".
баллы;творческий конкурс,баллы,как учитываются;Баллы за творческий конкурс суммируются с баллами ЕГЭ при поступлении на творческие направления. 
баллы;средний балл аттестата,учитывается;Средний балл аттестата не учитывается при поступлении в КГУ. 
баллы;перевод,из,другого,вуза,баллы;При переводе из другого вуза ваши баллы будут пересчитаны в соответствии с правилами КГУ. 
баллы;целевое,направление,баллы;Для поступления по целевому направлению вам необходимо набрать минимальное количество баллов ЕГЭ, установленное КГУ. 
баллы;вторая волна,баллы;Проходные баллы во вторую волну зачисления могут отличаться от баллов в первую волну. 
баллы;очная,форма,заочная,форма,баллы;Проходные баллы на очную и заочную формы обучения могут отличаться. 
баллы;бюджет,коммерция,баллы;Проходные баллы на бюджетные и коммерческие места могут отличаться. 
общежитие;общежитие,предоставляется,иногородние;КГУ предоставляет общежитие иногородним студентам. [Подробнее об общежитии](https://kursksu.ru/pages/dormitories)
общежитие;общежитие,сколько,стоит,цена,проживание;Стоимость проживания в общежитии КГУ зависит от категории комнаты и условий проживания. [Подробнее о стоимости](https://kursksu.ru/pages/dormitories)
общежитие;общежитие,условия,проживание,комнаты;В общежитиях КГУ есть комнаты различной вместимости, оборудованные необходимой мебелью.  [Подробнее об условиях](https://kursksu.ru/pages/dormitories)
общежитие;общежитие,интернет,wi-fi;В общежитиях КГУ предоставляется доступ к Wi-Fi. 
общежитие;общежитие,душ,туалет,ванная;В общежитиях КГУ есть общие душевые и туалетные комнаты на каждом этаже.
общежитие;общежитие,кухня,готовить,еда;В общежитиях КГУ есть общие кухни, оборудованные плитами и раковинами, где студенты могут готовить еду.
общежитие;общежитие,прачечная,стирать;В общежитиях КГУ есть прачечные со стиральными машинами.
общежитие;общежитие,заселение,документы;Для заселения в общежитие КГУ необходимы следующие документы: паспорт, договор найма жилого помещения, справка о зачислении. [Подробнее о документах](https://kursksu.ru/pages/dormitories)
общежитие;общежитие,расположение,адрес;Общежития КГУ расположены по адресам: (укажите адреса общежитий). [Подробнее о расположении](https://kursksu.ru/pages/dormitories)
общежитие;общежитие,далеко,университет;Общежития КГУ находятся в пешей доступности от учебных корпусов.
общежитие;общежитие,комендантский,час;В общежитиях КГУ действует комендантский час. 
общежитие;общежитие,гости,приглашать;Студенты могут приглашать гостей в общежитие, но с соблюдением правил внутреннего распорядка.
общежитие;общежитие,животные;Проживание с домашними животными в общежитиях КГУ запрещено.
общежитие;общежитие,места,занятия;В общежитиях КГУ есть комнаты для занятий и учебные зоны.
общежитие;общежитие,охрана,безопасность;Общежития КГУ охраняются круглосуточно.
общежитие;общежитие,вокзал,добраться;От вокзала до общежитий КГУ можно добраться на общественном транспорте (укажите номера маршрутов). 
общежитие;общежитие,курить;Курение в общежитиях КГУ запрещено.
общежитие;общежитие,медпункт,врач;В общежитиях КГУ есть медицинские пункты, где студенты могут получить первую медицинскую помощь.
общежитие;общежитие,тренажерный,зал,спорт;В некоторых общежитиях КГУ есть тренажерные залы.
курсы;курсы,подготовительные,ЕГЭ,подготовка;КГУ проводит подготовительные курсы к ЕГЭ по различным предметам. [Подробнее о курсах](https://www.kursksu.ru/pages/preliminary_courses)
курсы;курсы,предметы,какие;Подготовительные курсы КГУ охватывают основные предметы ЕГЭ: русский язык, математику, физику, обществознание, историю, биологию, химию, иностранные языки и другие.
курсы;курсы,стоимость,цена;Стоимость подготовительных курсов в КГУ зависит от выбранных предметов и формата обучения. [Подробнее о стоимости](https://www.kursksu.ru/pages/preliminary_courses)
курсы;курсы,расписание,график,занятия;Расписание занятий на подготовительных курсах КГУ публикуется на сайте. [Подробнее о расписании](https://www.kursksu.ru/pages/preliminary_courses)
курсы;курсы,запись,как записаться;Записаться на подготовительные курсы КГУ можно онлайн, по телефону или лично в приемной комиссии. [Подробнее о записи](https://www.kursksu.ru/pages/preliminary_courses)
курсы;курсы,преподаватели,кто ведет;Занятия на подготовительных курсах КГУ ведут опытные преподаватели университета.
курсы;курсы,онлайн,дистанционно;КГУ проводит как очные, так и онлайн-курсы подготовки к ЕГЭ. 
